Read Date,Low Meter Read_31-013200-02,Consumption_31-013200-02,Low Meter Read_31-014050-01,Consumption_31-014050-01,Low Meter Read_31-012200-06 ,Consumption_31-012200-06 ,Low Meter Read_31-014000-02,Consumption_31-014000-02,Low Meter Read_31-013300-04,Consumption_31-013300-04,Low Meter Read_31-013700-01,Consumption_31-013700-01,Low Meter Read_31-013400-01,Consumption_31-013400-01,Low Meter Read_31-012800-01,Consumption_31-012800-01,Low Meter Read_31-012300-01,Consumption_31-012300-01,Low Meter Read_31-013800-01,Consumption_31-013800-01,Low Meter Read_31-012600-01,Consumption_31-012600-01,Low Meter Read_31-012500-01,Consumption_31-012500-01,Low Meter Read_31-013100-01,Consumption_31-013100-01,Low Meter Read_31-012400-01,Consumption_31-012400-01,Low Meter Read_31-013500-01,Consumption_31-013500-01,Low Meter Read_31-013600-01,Consumption_31-013600-01,Low Meter Read_31-012900-01,Consumption_31-012900-01,Low Meter Read_31-013000-01,Consumption_31-013000-01,Low Meter Read_31-012700-01,Consumption_31-012700-01
2020-07-29,,,,,,,,,6671.0,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-25,,,,,,,,,7400.0,729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,,,,,,,,,8311.0,911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,,,,,,,,,8329.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,,,,,,,,,8690.0,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-27,38806.0,0.0,7867.0,236.0,803.0,706.0,881.0,833.0,9577.0,887.0,6280.0,444.0,6874.0,96,2264.0,282.0,,,762.0,758.0,1788.0,514.0,390.0,178.0,6060.0,840.0,4525.0,145.0,4252.0,46.0,1515.0,375.0,9758.0,,8078.0,248.0,261.0,235.0
2021-06-24,38807.0,,8106.0,239.0,1227.0,424.0,1650.0,769.0,304.0,727.0,6689.0,409.0,7076.0,202,2554.0,290.0,,,1464.0,702.0,2353.0,565.0,566.0,176.0,7145.0,1085.0,4740.0,215.0,4328.0,76.0,2109.0,594.0,9763.0,5.0,8310.0,232.0,496.0,235.0
2021-07-29,39083.0,276.0,8440.0,334.0,2189.0,962.0,2257.0,607.0,1308.0,1004.0,7299.0,610.0,7377.0,301,2858.0,304.0,5860.0,506.0,2174.0,710.0,2843.0,490.0,714.0,148.0,8658.0,1513.0,4990.0,250.0,4448.0,120.0,2719.0,610.0,9768.0,5.0,8490.0,180.0,695.0,199.0
2021-08-26,39467.0,384.0,8633.0,193.0,2553.0,364.0,2750.0,493.0,1444.0,136.0,7725.0,426.0,7505.0,128,3069.0,211.0,6050.0,190.0,2200.0,26.0,3065.0,222.0,763.0,49.0,9415.0,757.0,5959.0,969.0,4522.0,74.0,3463.0,744.0,9777.0,9.0,8619.0,129.0,818.0,123.0
2021-09-29,39982.0,515.0,8874.0,241.0,3007.0,454.0,3618.0,868.0,1444.0,0.0,8216.0,491.0,7672.0,167,3313.0,244.0,6311.0,261.0,2200.0,0.0,3334.0,269.0,826.0,63.0,462.0,1047.0,6280.0,321.0,4591.0,69.0,4032.0,569.0,9780.0,3.0,8767.0,148.0,964.0,146.0
2021-10-28,39991.0,9.0,8892.0,18.0,3139.0,132.0,3685.0,67.0,1444.0,0.0,8230.0,14.0,7683.0,11,3426.0,113.0,6409.0,98.0,2201.0,1.0,3413.0,79.0,840.0,14.0,844.0,382.0,6366.0,86.0,4624.0,33.0,4113.0,81.0,9783.0,3.0,8787.0,20.0,988.0,24.0
2021-11-30,39997.0,6.0,8931.0,39.0,3230.0,91.0,3763.0,78.0,,,8231.0,1.0,7683.0,0,3459.0,33.0,6430.0,21.0,2204.0,3.0,3420.0,7.0,850.0,10.0,887.0,43.0,6435.0,69.0,4647.0,23.0,4151.0,38.0,9793.0,10.0,8788.0,1.0,990.0,2.0
2021-12-30,0.0,5.0,8999.0,68.0,3289.0,59.0,3804.0,41.0,,,8231.0,0.0,7684.0,I,3475.0,16.0,6446.0,16.0,2204.0,0.0,3429.0,9.0,858.0,8.0,915.0,28.0,6517.0,82.0,4657.0,10.0,4177.0,26.0,9797.0,4.0,8788.0,0.0,999.0,9.0
2022-01-27,0.0,0.0,9002.0,3.0,3389.0,100.0,3857.0,53.0,,,8231.0,0.0,7685.0,,3511.0,36.0,6460.0,14.0,2216.0,12.0,3437.0,8.0,865.0,7.0,935.0,20.0,6609.0,92.0,4665.0,8.0,4199.0,22.0,9800.0,3.0,8789.0,1.0,1002.0,3.0
2022-02-28,0.0,0.0,9072.0,70.0,3469.0,80.0,3938.0,81.0,,,8232.0,1.0,7686.0,,3565.0,54.0,6482.0,22.0,2226.0,10.0,3444.0,7.0,871.0,6.0,954.0,19.0,6669.0,60.0,4691.0,26.0,4231.0,32.0,9803.0,3.0,8790.0,1.0,1007.0,5.0
2022-03-30,0.0,0.0,9133.0,61.0,3500.0,31.0,4006.0,68.0,,,8237.0,5.0,7687.0,,3582.0,17.0,6495.0,13.0,2227.0,,3485.0,41.0,876.0,5.0,1031.0,77.0,6700.0,31.0,4714.0,23.0,4260.0,29.0,9814.0,11.0,8790.0,0.0,1013.0,6.0
2022-04-27,0.0,0.0,9144.0,11.0,3530.0,30.0,4106.0,100.0,1444.0,0.0,8238.0,1.0,7688.0,l,3606.0,24.0,6516.0,21.0,2242.0,15.0,3490.0,5.0,881.0,5.0,1084.0,53.0,6732.0,32.0,4742.0,28.0,4287.0,27.0,9831.0,17.0,8791.0,1.0,1027.0,14.0
2022-05-26,0.0,0.0,9155.0,11.0,3671.0,141.0,4190.0,84.0,1444.0,0.0,8240.0,2.0,7701.0,13,3758.0,152.0,6741.0,225.0,2247.0,5.0,3562.0,72.0,888.0,7.0,1135.0,51.0,6817.0,85.0,4781.0,39.0,4553.0,266.0,9839.0,8.0,8900.0,109.0,1028.0,1.0
2022-06-29,9.0,9.0,9265.0,110.0,4448.0,777.0,4561.0,371.0,1444.0,0.0,9158.0,918.0,7856.0,155,3862.0,104.0,7142.0,401.0,2587.0,340.0,3895.0,333.0,1020.0,132.0,2456.0,1321.0,6900.0,83.0,4867.0,86.0,5275.0,722.0,9944.0,105.0,8974.0,74.0,1121.0,93.0
2022-07-28,9.0,0.0,9653.0,388.0,5296.0,848.0,5790.0,1229.0,1444.0,0.0,9691.0,533.0,8063.0,207,4452.0,590.0,7487.0,345.0,3807.0,1220.0,4539.0,644.0,1189.0,169.0,3593.0,1137.0,6981.0,81.0,4976.0,109.0,7873.0,2598.0,9981.0,37.0,9501.0,527.0,1783.0,662.0
2022-08-29,285.0,276.0,9880.0,227.0,6082.0,786.0,6501.0,711.0,1796.0,352.0,9907.0,216.0,8126.0,63,4808.0,356.0,7805.0,318.0,4556.0,749.0,4734.0,195.0,1286.0,97.0,4284.0,691.0,7059.0,78.0,5011.0,35.0,8662.0,789.0,31.0,50.0,9772.0,271.0,2132.0,349.0
2022-09-28,738.0,453.0,172.0,292.0,6678.0,596.0,7279.0,778.0,2286.0,490.0,101.0,194.0,8338.0,212,5022.0,214.0,8163.0,358.0,5246.0,690.0,5051.0,317.0,1370.0,84.0,4971.0,687.0,7134.0,75.0,5196.0,185.0,9031.0,369.0,59.0,28.0,9919.0,147.0,2674.0,542.0
2022-10-27,1200.0,462.0,330.0,158.0,7154.0,476.0,7822.0,543.0,2811.0,525.0,322.0,221.0,8562.0,224,5411.0,389.0,8296.0,133.0,5876.0,630.0,5487.0,436.0,1508.0,138.0,5631.0,660.0,7200.0,66.0,5288.0,92.0,9087.0,56.0,127.0,68.0,9919.0,0.0,2960.0,286.0
2022-11-29,1201.0,1.0,354.0,24.0,7233.0,79.0,7908.0,86.0,,,340.0,18.0,8563.0,,5422.0,11.0,8313.0,17.0,5940.0,64.0,5499.0,12.0,1522.0,14.0,5685.0,54.0,7254.0,54.0,5354.0,66.0,9108.0,21.0,157.0,30.0,19.0,100.0,2969.0,9.0
2022-12-27,1203.0,2.0,374.0,20.0,7295.0,62.0,7959.0,51.0,,,340.0,0.0,8564.0,,5452.0,30.0,8335.0,22.0,5940.0,0.0,5503.0,4.0,1528.0,6.0,5725.0,40.0,8706.0,1452.0,5389.0,35.0,9120.0,12.0,186.0,29.0,86.0,67.0,2975.0,6.0
2023-01-30,1206.0,3.0,384.0,10.0,7341.0,46.0,7999.0,40.0,,,340.0,0.0,8564.0,0,5462.0,10.0,8354.0,19.0,5945.0,5.0,5507.0,4.0,1533.0,5.0,5760.0,35.0,8766.0,60.0,5389.0,0.0,9128.0,8.0,201.0,15.0,129.0,43.0,3066.0,91.0
2023-02-28,1208.0,2.0,397.0,13.0,7342.0,1.0,8192.0,193.0,,,341.0,,8564.0,0,5473.0,11.0,8369.0,15.0,5948.0,3.0,5511.0,4.0,1537.0,4.0,5790.0,30.0,8840.0,74.0,5419.0,30.0,9158.0,30.0,214.0,13.0,129.0,0.0,3073.0,7.0
2023-03-27,1212.0,4.0,399.0,2.0,7383.0,41.0,8215.0,23.0,,,342.0,,8564.0,0,5487.0,14.0,8381.0,12.0,5951.0,3.0,5525.0,14.0,1542.0,5.0,5815.0,25.0,8870.0,30.0,5457.0,38.0,9170.0,12.0,226.0,12.0,131.0,2.0,3101.0,28.0
2023-04-26,1217.0,5.0,0.0,3.0,7457.0,74.0,8221.0,6.0,0.0,71.0,0.0,,0.0,1,0.0,27.0,8395.0,14.0,5912.0,0.0,0.0,6.0,1547.0,5.0,5941.0,126.0,8893.0,23.0,0.0,134.0,9180.0,10.0,0.0,50.0,0.0,0.0,3119.0,18.0
2023-05-25,1422.0,205.0,185.0,185.0,7572.0,115.0,8303.0,82.0,0.0,0.0,373.0,373.0,605.0,605,133.0,133.0,8577.0,182.0,5913.0,1.0,27.0,27.0,1641.0,94.0,6440.0,499.0,9150.0,257.0,62.0,62.0,9208.0,28.0,37.0,37.0,195.0,195.0,3465.0,346.0
2023-06-27,2170.0,748.0,64.0,879.0,8884.0,1312.0,9033.0,730.0,0.0,0.0,1221.0,848.0,731.0,126,166.0,33.0,9029.0,452.0,5914.0,,75.0,48.0,2078.0,437.0,7602.0,1162.0,9380.0,230.0,145.0,83.0,25.0,817.0,70.0,33.0,876.0,681.0,3976.0,511.0
2023-07-31,2966.0,796.0,1018.0,954.0,9611.0,727.0,11510.0,2477.0,416.0,416.0,1694.0,473.0,1122.0,391,177.0,11.0,9336.0,307.0,6385.0,471.0,120.0,45.0,2445.0,367.0,8319.0,717.0,9612.0,232.0,231.0,86.0,716.0,691.0,88.0,18.0,1521.0,645.0,4525.0,549.0
2023-08-28,3602.0,636.0,1324.0,306.0,10246.0,635.0,12516.0,1006.0,1018.0,602.0,1955.0,261.0,1755.0,633,202.0,25.0,9615.0,279.0,7193.0,808.0,361.0,241.0,2541.0,96.0,9144.0,825.0,9859.0,247.0,306.0,75.0,1028.0,312.0,109.0,21.0,2022.0,501.0,4956.0,431.0
2023-09-28,4114.0,512.0,1663.0,339.0,10915.0,669.0,13610.0,1094.0,1698.0,680.0,2432.0,477.0,2165.0,410,255.0,53.0,9880.0,265.0,7205.0,12.0,608.0,247.0,2607.0,66.0,9818.0,674.0,279.0,420.0,380.0,74.0,1533.0,505.0,143.0,34.0,2561.0,539.0,5594.0,638.0
2023-10-26,4212.0,98.0,1756.0,93.0,11063.0,148.0,13845.0,235.0,1698.0,0.0,2466.0,34.0,2191.0,26,274.0,19.0,9990.0,110.0,7206.0,,669.0,61.0,2624.0,17.0,85.0,267.0,1397.0,1118.0,424.0,44.0,1671.0,138.0,166.0,23.0,2708.0,147.0,5660.0,66.0
2023-11-30,4215.0,3.0,1764.0,8.0,11180.0,117.0,13848.0,3.0,,,2467.0,1.0,2218.0,27,352.0,78.0,17.0,27.0,7207.0,,677.0,8.0,2634.0,10.0,138.0,53.0,1489.0,92.0,483.0,59.0,1681.0,10.0,192.0,26.0,2708.0,0.0,5669.0,9.0
2024-01-02,4218.0,3.0,1768.0,4.0,11230.0,50.0,13849.0,1.0,,,2468.0,1.0,2221.0,3,416.0,64.0,35.0,18.0,7211.0,4.0,684.0,7.0,2641.0,7.0,175.0,37.0,1549.0,60.0,511.0,28.0,1690.0,9.0,204.0,12.0,2708.0,0.0,5676.0,7.0
2024-01-30,4220.0,2.0,1800.0,32.0,11322.0,92.0,13859.0,10.0,,,2468.0,0.0,2238.0,17,470.0,54.0,53.0,18.0,7211.0,0.0,689.0,5.0,2647.0,6.0,217.0,42.0,1658.0,109.0,536.0,25.0,1700.0,10.0,212.0,8.0,2709.0,1.0,5682.0,6.0
2024-02-28,4223.0,3.0,1815.0,15.0,11434.0,112.0,13862.0,3.0,,,2469.0,1.0,2243.0,5,510.0,40.0,70.0,17.0,7212.0,1.0,696.0,7.0,2651.0,4.0,250.0,33.0,1703.0,45.0,583.0,47.0,1710.0,10.0,223.0,11.0,2709.0,0.0,5693.0,11.0
2024-03-26,4226.0,3.0,1820.0,5.0,11458.0,24.0,13863.0,1.0,,,2470.0,,2249.0,6,568.0,58.0,91.0,21.0,7213.0,,704.0,8.0,2656.0,5.0,302.0,52.0,1740.0,37.0,592.0,9.0,1718.0,8.0,234.0,11.0,2710.0,1.0,5700.0,7.0
2024-04-29,4229.0,3.0,1836.0,16.0,11499.0,41.0,13867.0,4.0,1802.0,104.0,2473.0,3.0,2253.0,4,773.0,205.0,137.0,46.0,7217.0,4.0,720.0,16.0,2673.0,17.0,342.0,40.0,1870.0,130.0,617.0,25.0,1728.0,10.0,245.0,11.0,2711.0,1.0,5708.0,8.0
2024-05-28,5106.0,877.0,1840.0,4.0,11792.0,293.0,13883.0,16.0,1802.0,0.0,2479.0,6.0,2413.0,160,1310.0,537.0,258.0,121.0,7219.0,2.0,844.0,124.0,2685.0,12.0,382.0,40.0,2033.0,163.0,659.0,42.0,1740.0,12.0,264.0,19.0,2712.0,1.0,5721.0,13.0
2024-06-18,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2024-06-18,,,,,,,,,,,,,,,,,580.0,322.0,,,,,,,,,,,,,,,,,,,,
2024-07-01,6011.0,905.0,2200.0,360.0,12340.0,548.0,15085.0,1202.0,1802.0,0.0,2786.0,307.0,3193.0,780,2088.0,778.0,162.0,162.0,7221.0,2.0,1402.0,558.0,2698.0,13.0,536.0,154.0,2176.0,143.0,726.0,67.0,2288.0,548.0,273.0,9.0,2716.0,4.0,5735.0,14.0
2024-07-25,7714.0,1703.0,2820.0,620.0,12880.0,540.0,16823.0,1738.0,1802.0,0.0,4831.0,2045.0,3901.0,708,3116.0,1028.0,487.0,325.0,7222.0,,2200.0,798.0,2710.0,12.0,623.0,87.0,3323.0,1147.0,780.0,54.0,2749.0,461.0,283.0,10.0,2786.0,70.0,5744.0,9.0
